"","tank.number","Date.Time","Temp"
"1",1,2019-10-12 15:08:00,23.196
"3",1,2019-10-12 15:38:00,26.292
"4",1,2019-10-12 16:08:00,26.195
"5",1,2019-10-12 16:38:00,26.39
"6",1,2019-10-12 17:08:00,26.488
"7",1,2019-10-12 17:38:00,26.292
"8",1,2019-10-12 18:08:00,26.39
"9",1,2019-10-12 18:38:00,26.39
"10",1,2019-10-12 19:08:00,26.39
"12",1,2019-10-12 19:38:00,23.1
"14",1,2019-10-12 20:08:00,26.195
"15",1,2019-10-12 20:38:00,26.097
"16",1,2019-10-12 21:08:00,26
"17",1,2019-10-12 21:38:00,25.902
"18",1,2019-10-12 22:08:00,25.805
"19",1,2019-10-12 22:38:00,25.805
"20",1,2019-10-12 23:08:00,25.708
"21",1,2019-10-12 23:38:00,25.61
"22",1,2019-10-13 00:08:00,25.513
"23",1,2019-10-13 00:38:00,25.416
"24",1,2019-10-13 01:08:00,25.319
"25",1,2019-10-13 01:38:00,25.319
"26",1,2019-10-13 02:08:00,25.222
"27",1,2019-10-13 02:38:00,25.125
"28",1,2019-10-13 03:08:00,25.125
"29",1,2019-10-13 03:38:00,25.028
"30",1,2019-10-13 04:08:00,25.028
"31",1,2019-10-13 04:38:00,24.931
"32",1,2019-10-13 05:08:00,24.835
"33",1,2019-10-13 05:38:00,24.835
"34",1,2019-10-13 06:08:00,24.738
"35",1,2019-10-13 06:38:00,24.738
"36",1,2019-10-13 07:08:00,24.738
"37",1,2019-10-13 07:38:00,24.641
"38",1,2019-10-13 08:08:00,24.545
"39",1,2019-10-13 08:38:00,24.545
"40",1,2019-10-13 09:08:00,24.545
"41",1,2019-10-13 09:38:00,24.641
"42",1,2019-10-13 10:08:00,24.641
"43",1,2019-10-13 10:38:00,24.738
"44",1,2019-10-13 11:08:00,24.931
"45",1,2019-10-13 11:38:00,25.319
"46",1,2019-10-13 12:08:00,25.61
"47",1,2019-10-13 12:38:00,26
"48",1,2019-10-13 13:08:00,26.292
"49",1,2019-10-13 13:38:00,26.585
"50",1,2019-10-13 14:08:00,26.781
"51",1,2019-10-13 14:38:00,27.075
"52",1,2019-10-13 15:08:00,27.272
"53",1,2019-10-13 15:38:00,27.37
"54",1,2019-10-13 16:08:00,27.468
"55",1,2019-10-13 16:38:00,27.567
"56",1,2019-10-13 17:08:00,27.075
"61",1,2019-10-13 17:38:00,27.665
"62",1,2019-10-13 18:08:00,27.468
"63",1,2019-10-13 18:38:00,27.37
"64",1,2019-10-13 19:08:00,27.272
"65",1,2019-10-13 19:38:00,27.272
"66",1,2019-10-13 20:08:00,27.075
"67",1,2019-10-13 20:38:00,26.977
"68",1,2019-10-13 21:08:00,26.781
"69",1,2019-10-13 21:38:00,26.683
"70",1,2019-10-13 22:08:00,26.585
"71",1,2019-10-13 22:38:00,26.488
"72",1,2019-10-13 23:08:00,26.292
"73",1,2019-10-13 23:38:00,26.195
"74",1,2019-10-14 00:08:00,26.097
"75",1,2019-10-14 00:38:00,26
"76",1,2019-10-14 01:08:00,25.902
"77",1,2019-10-14 01:38:00,25.805
"78",1,2019-10-14 02:08:00,25.708
"79",1,2019-10-14 02:38:00,25.708
"80",1,2019-10-14 03:08:00,25.61
"81",1,2019-10-14 03:38:00,25.513
"82",1,2019-10-14 04:08:00,25.513
"83",1,2019-10-14 04:38:00,25.513
"84",1,2019-10-14 05:08:00,25.513
"85",1,2019-10-14 05:38:00,25.416
"86",1,2019-10-14 06:08:00,25.416
"87",1,2019-10-14 06:38:00,25.319
"88",1,2019-10-14 07:08:00,25.319
"89",1,2019-10-14 07:38:00,25.319
"90",1,2019-10-14 08:08:00,25.222
"91",1,2019-10-14 08:38:00,25.222
"92",1,2019-10-14 09:08:00,25.125
"93",1,2019-10-14 09:38:00,25.319
"94",1,2019-10-14 10:08:00,25.319
"95",1,2019-10-14 10:38:00,25.513
"96",1,2019-10-14 11:08:00,25.708
"97",1,2019-10-14 11:38:00,26
"98",1,2019-10-14 12:08:00,26.195
"99",1,2019-10-14 12:38:00,26.39
"100",1,2019-10-14 13:08:00,26.39
"101",1,2019-10-14 13:38:00,26.683
"102",1,2019-10-14 14:08:00,26.683
"103",1,2019-10-14 14:38:00,26.683
"104",1,2019-10-14 15:08:00,26.879
"105",1,2019-10-14 15:38:00,26.781
"106",1,2019-10-14 16:08:00,26.683
"107",1,2019-10-14 16:38:00,26.781
"108",1,2019-10-14 17:08:00,26.879
"109",1,2019-10-14 17:38:00,26.781
"110",1,2019-10-14 18:08:00,26.781
"111",1,2019-10-14 18:38:00,26.977
"112",1,2019-10-14 19:08:00,26.977
"113",1,2019-10-14 19:38:00,26.977
"114",1,2019-10-14 20:08:00,26.879
"115",1,2019-10-14 20:38:00,26.781
"116",1,2019-10-14 21:08:00,26.683
"117",1,2019-10-14 21:38:00,26.488
"118",1,2019-10-14 22:08:00,26.39
"119",1,2019-10-14 22:38:00,26.292
"120",1,2019-10-14 23:08:00,26.292
"121",1,2019-10-14 23:38:00,26.195
"122",1,2019-10-15 00:08:00,26
"123",1,2019-10-15 00:38:00,25.902
"124",1,2019-10-15 01:08:00,25.805
"125",1,2019-10-15 01:38:00,25.708
"126",1,2019-10-15 02:08:00,25.708
"127",1,2019-10-15 02:38:00,25.61
"128",1,2019-10-15 03:08:00,25.513
"129",1,2019-10-15 03:38:00,25.513
"130",1,2019-10-15 04:08:00,25.416
"131",1,2019-10-15 04:38:00,25.416
"132",1,2019-10-15 05:08:00,25.416
"133",1,2019-10-15 05:38:00,25.319
"134",1,2019-10-15 06:08:00,25.319
"135",1,2019-10-15 06:38:00,25.319
"136",1,2019-10-15 07:08:00,25.222
"137",1,2019-10-15 07:38:00,25.222
"138",1,2019-10-15 08:08:00,25.222
"139",1,2019-10-15 08:38:00,25.125
"140",1,2019-10-15 09:08:00,25.125
"141",1,2019-10-15 09:38:00,25.222
"142",1,2019-10-15 10:08:00,25.319
"143",1,2019-10-15 10:38:00,25.416
