"","fragment.ID","treatment","rate.type","block","E","Eh","lnc","Th","Topt","Pmax"
"1","PV1_D","Enriched","Dark Respiration",1,0.328870899483179,3.33706668720956,3.06952948003015,312.762530379664,34.1178788970676,3.30271934663828
"2","PV1_L","Enriched","Gross Photosynthesis",1,0.298705697849912,4.64777898012466,4.22694246598808,308.33594524121,30.5347818091063,4.33348969222225
"3","PV10_D","Enriched","Dark Respiration",3,0.535631863334063,3.80499899140703,2.97882558735353,310.747379677183,33.6899802797645,3.34768141227566
"4","PV10_L","Enriched","Gross Photosynthesis",3,0.181372919569465,12.192443806161,3.73669209019499,309.750409132929,33.782036185618,3.90003563314283
"5","PV11_D","Enriched","Dark Respiration",3,0.431109125872155,2.90668180609453,2.96202726779069,312.696042262528,34.5585774884829,3.26648683836752
"6","PV11_L","Enriched","Gross Photosynthesis",3,0.213371922511343,5.91649572306275,4.37893378401242,309.067388315135,31.4112680414989,4.48921976953616
"7","PV12_D","Enriched","Dark Respiration",3,0.401215224775942,6.39774999181769,2.71667638566272,311.602592515065,34.9543008100231,3.10409563836551
"8","PV12_L","Enriched","Gross Photosynthesis",3,0.168314547745168,9.23388019749512,3.75326651001592,309.677151830361,32.9990073781265,3.88409106873487
"9","PV13_D","Enriched","Dark Respiration",4,0.358771433086851,3.31888307361735,2.82684980007722,312.888958887515,34.4635688957505,3.09524645297299
"10","PV13_L","Enriched","Gross Photosynthesis",4,0.326063322755666,5.75875994245884,3.80247098698106,309.167206856221,32.044075941849,3.99459895895585
"11","PV14_D","Enriched","Dark Respiration",4,0.323570520764124,5.65274975440583,3.34507175908112,312.267273743158,35.0063332060048,3.65285954571897
"12","PV14_L","Enriched","Gross Photosynthesis",4,0.280685710114334,6.05460600362298,4.38726107974168,309.54596014115,32.3251054566691,4.56517336404089
"13","PV15_D","Enriched","Dark Respiration",4,0.394315663527821,5.95916467204873,4.14474240008911,311.435268764191,34.6151919802593,4.50433066947489
"14","PV15_L","Enriched","Gross Photosynthesis",4,0.166726393419525,7.34628997174701,5.10568276339617,309.833354243932,32.502282186892,5.22027139936908
"15","PV16_D","Enriched","Dark Respiration",4,0.240089218856567,4.91240350374655,2.51087376321874,311.845362218349,33.7109217542705,2.69472466431666
"16","PV16_L","Enriched","Gross Photosynthesis",4,0.386420740579482,3.40381589215268,3.91853869535506,307.388876722073,29.3984558663286,3.96636136120306
"17","PV17_D","Control","Dark Respiration",5,0.349060069686112,4.12094609670349,3.97247738306531,312.206279821507,34.277820909935,4.24845232375221
"18","PV17_L","Control","Gross Photosynthesis",5,0.329130114329489,6.33014147643048,4.82448958046484,308.70672792872,31.8345320736058,5.01526909282773
"19","PV18_D","Control","Dark Respiration",5,0.366898184228164,4.46110198254539,3.4466651058551,310.314217202201,32.7398321840309,3.67433851302678
"20","PV18_L","Control","Gross Photosynthesis",5,0.345581943238224,11.6339654049005,4.07057343459584,308.971237769746,33.3748351477788,4.36285318374103
"21","PV19_D","Control","Dark Respiration",5,0.450341619831888,2.00483516272844,2.8587042226876,311.915540518635,33.6677514447157,3.04074102787404
"22","PV19_L","Control","Gross Photosynthesis",5,0.304826470960383,12.9402575281489,3.7751783524648,308.894855363387,33.3955468706416,4.03652830712335
"23","PV2_D","Enriched","Dark Respiration",1,0.431499863560991,3.58011487738769,3.52069623654287,310.913672576731,33.2056921437591,3.78584503890316
"24","PV2_L","Enriched","Gross Photosynthesis",1,0.35049381397916,7.54614577956253,4.20606698249568,309.266247365562,32.849512656459,4.46275169265154
