"","X","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","block","chl.ugcm2","chlA.ug.sample","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.chl.ug.hr","Rate.ln"
"3",3,"PV11_D_20_O2",207.97401705074,-0.00937018675123325,20.05572,"PV11_D","P. verrucosa","11",10,"D1",20,2021-03-24 04:24:00,2021-03-24 04:44:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.00571581391825228,"0",-0.000109881346371702,-0.00560593257188058,13.4960158363142,NA
"4",4,"PV21_D_20_O2",179.54408513299,-0.0123154633204633,20.08838,"PV21_D","P. verrucosa","21",3,"D1",20,2021-03-24 04:24:00,2021-03-24 04:44:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.00763558725868725,"0",-0.000109881346371702,-0.00752570591231554,15.4198023213074,NA
"5",5,"PV29_D_20_O2",211.664957857143,-0.00801813588850178,20.18218,"PV29_D","P. verrucosa","29",4,"D1",20,2021-03-24 04:24:00,2021-03-24 04:44:00,"dark","control",105.04,0.6,8,0.286292138,0.374936667,-0.00481088153310107,"0",-0.000109881346371702,-0.00470100018672937,45.1372249282456,NA
"6",6,"PV3_D_20_O2",215.225020013131,-0.0176313491629283,20.00136,"PV3_D","P. verrucosa","3",2,"D1",20,2021-03-24 04:24:00,2021-03-24 04:44:00,"dark","enriched",50.86,0.59,1,1.363743438,1.385563333,-0.0104024960061277,"0",-0.000109881346371702,-0.010292614659756,26.7424894211758,NA
"7",7,"PV30_D_20_O2",213.437056229839,-0.0101719556451612,19.8988,"PV30_D","P. verrucosa","30",1,"D1",20,2021-03-24 04:24:00,2021-03-24 04:44:00,"dark","control",77.26,0.62,8,0.893279254,0.37493667,-0.00630661249999994,"0",-0.000109881346371702,-0.00619673115362824,59.4986672097495,NA
"8",8,"PV32_D_20_O2",211.00582506006,-0.0109839189189188,19.90368,"PV32_D","P. verrucosa","32",5,"D1",20,2021-03-24 04:24:00,2021-03-24 04:44:00,"dark","control",85.83,0.6,8,0.427049174,0.752066667,-0.00659035135135128,"0",-0.000109881346371702,-0.00648047000497958,31.0207765369908,NA
"9",9,"PV6_D_20_O2",205.247583228228,-0.0131225675675676,19.96544,"PV6_D","P. verrucosa","6",9,"D1",20,2021-03-24 04:24:00,2021-03-24 04:44:00,"dark","enriched",88.69,0.62,2,0.559733783,0.456166667,-0.00813599189189191,"0",-0.000109881346371702,-0.00802611054552021,63.3408796699141,NA
"10",10,"PV8_D_20_O2",174.470534975369,-0.011456157635468,20.14974,"PV8_D","P. verrucosa","8",6,"D1",20,2021-03-24 04:24:00,2021-03-24 04:44:00,"dark","enriched",89.16,0.61,2,0.344302262,0.417243333,-0.00698825615763548,"0",-0.000109881346371702,-0.00687837481126378,59.3470221381574,NA
"13",13,"PV11_D_22_O2",202.208186466235,-0.00938609620721558,22.0115918367347,"PV11_D","P. verrucosa","11",10,"D1",22,2021-03-24 05:12:00,2021-03-24 05:33:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.0057255186864015,"0",-0.000461533000320333,-0.00526398568608117,12.6727949846979,NA
"14",14,"PV21_D_22_O2",175.390664165481,-0.0129270862968231,22.0558979591837,"PV21_D","P. verrucosa","21",3,"D1",22,2021-03-24 05:12:00,2021-03-24 05:33:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.00801479350403032,"0",-0.000461533000320333,-0.00755326050370999,15.4762603276788,NA
"15",15,"PV29_D_22_O2",207.84752717759,-0.0109870084566597,22.1608163265306,"PV29_D","P. verrucosa","29",4,"D1",22,2021-03-24 05:12:00,2021-03-24 05:33:00,"dark","control",105.04,0.6,8,0.286292138,0.374936667,-0.00659220507399582,"0",-0.000461533000320333,-0.00613067207367549,58.8643933969567,NA
"16",16,"PV3_D_22_O2",205.985473391725,-0.0144320144971308,22.1704081632653,"PV3_D","P. verrucosa","3",2,"D1",22,2021-03-24 05:12:00,2021-03-24 05:33:00,"dark","enriched",50.86,0.59,1,1.363743438,1.385563333,-0.00851488855330717,"0",-0.000461533000320333,-0.00805335555298684,20.9243989792797,NA
"17",17,"PV30_D_22_O2",209.843693628285,-0.0084790049428734,22.0276734693878,"PV30_D","P. verrucosa","30",1,"D1",22,2021-03-24 05:12:00,2021-03-24 05:33:00,"dark","control",77.26,0.62,8,0.893279254,0.37493667,-0.00525698306458151,"0",-0.000461533000320333,-0.00479545006426117,46.0440965439316,NA
"18",18,"PV32_D_22_O2",210.399057987805,-0.0115653048780488,21.8595306122449,"PV32_D","P. verrucosa","32",5,"D1",22,2021-03-24 05:12:00,2021-03-24 05:33:00,"dark","control",85.83,0.6,8,0.427049174,0.752066667,-0.00693918292682928,"0",-0.000461533000320333,-0.00647764992650895,31.0072773580752,NA
"19",19,"PV6_D_22_O2",205.496995769231,-0.0116111538461538,21.8133673469388,"PV6_D","P. verrucosa","6",9,"D1",22,2021-03-24 05:12:00,2021-03-24 05:33:00,"dark","enriched",88.69,0.62,2,0.559733783,0.456166667,-0.00719891538461536,"0",-0.000461533000320333,-0.00673738238429502,53.1704272540854,NA
"20",20,"PV8_D_22_O2",177.076042340426,-0.0103959636139377,22.0772040816327,"PV8_D","P. verrucosa","8",6,"D1",22,2021-03-24 05:12:00,2021-03-24 05:33:00,"dark","enriched",89.16,0.61,2,0.344302262,0.417243333,-0.006341537804502,"0",-0.000461533000320333,-0.00588000480418166,50.7330270392936,NA
"23",23,"PV11_D_24_O2",200.168330397727,-0.0112127291055718,24.1790612244898,"PV11_D","P. verrucosa","11",10,"D1",24,2021-03-24 05:53:00,2021-03-24 06:14:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.0068397647543988,"0",-0.000733497629877419,-0.00610626712452138,14.7005474569345,NA
"24",24,"PV21_D_24_O2",175.207064048892,-0.0147926967150497,24.2922448979592,"PV21_D","P. verrucosa","21",3,"D1",24,2021-03-24 05:53:00,2021-03-24 06:14:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.00917147196333081,"0",-0.000733497629877419,-0.00843797433345339,17.2889955746468,NA
"25",25,"PV29_D_24_O2",203.246762394998,-0.0124661737298437,24.1457551020408,"PV29_D","P. verrucosa","29",4,"D1",24,2021-03-24 05:53:00,2021-03-24 06:14:00,"dark","control",105.04,0.6,8,0.286292138,0.374936667,-0.00747970423790622,"0",-0.000733497629877419,-0.0067462066080288,64.7745230767299,NA
"26",26,"PV3_D_24_O2",203.583859649123,-0.016574898785425,24.1471020408163,"PV3_D","P. verrucosa","3",2,"D1",24,2021-03-24 05:53:00,2021-03-24 06:14:00,"dark","enriched",50.86,0.59,1,1.363743438,1.385563333,-0.00977919028340075,"0",-0.000733497629877419,-0.00904569265352333,23.5027102530029,NA
"27",27,"PV30_D_24_O2",204.554933326581,-0.0102308443400048,24.1633469387755,"PV30_D","P. verrucosa","30",1,"D1",24,2021-03-24 05:53:00,2021-03-24 06:14:00,"dark","control",77.26,0.62,8,0.893279254,0.37493667,-0.00634312349080298,"0",-0.000733497629877419,-0.00560962586092556,53.8615043957477,NA
"28",28,"PV32_D_24_O2",202.714762016807,-0.0138678991596639,24.0197959183673,"PV32_D","P. verrucosa","32",5,"D1",24,2021-03-24 05:53:00,2021-03-24 06:14:00,"dark","control",85.83,0.6,8,0.427049174,0.752066667,-0.00832073949579834,"0",-0.000733497629877419,-0.00758724186592092,36.3186827921404,NA
"29",29,"PV6_D_24_O2",202.584326065372,-0.0132227042861549,24.0782653061225,"PV6_D","P. verrucosa","6",9,"D1",24,2021-03-24 05:53:00,2021-03-24 06:14:00,"dark","enriched",88.69,0.62,2,0.559733783,0.456166667,-0.00819807665741604,"0",-0.000733497629877419,-0.00746457902753862,58.9093558191507,NA
"30",30,"PV8_D_24_O2",171.802675134041,-0.0115521446547762,24.1648775510204,"PV8_D","P. verrucosa","8",6,"D1",24,2021-03-24 05:53:00,2021-03-24 06:14:00,"dark","enriched",89.16,0.61,2,0.344302262,0.417243333,-0.00704680823941348,"0",-0.000733497629877419,-0.00631331060953606,54.4716149948161,NA
"33",33,"PV11_D_28_O2",184.25182608885,-0.0153757404181185,28.1515510204082,"PV11_D","P. verrucosa","11",10,"D1",28,2021-03-24 06:50:00,2021-03-24 07:11:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.00937920165505229,"0",-0.00110673940652832,-0.00827246224852396,19.915559111682,NA
"34",34,"PV21_D_28_O2",158.1589970964,-0.0175487804878049,28.1482448979592,"PV21_D","P. verrucosa","21",3,"D1",28,2021-03-24 06:50:00,2021-03-24 07:11:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.010880243902439,"0",-0.00110673940652832,-0.00977350449591072,20.0254313773713,NA
"35",35,"PV29_D_28_O2",195.458347342375,-0.0106263013196481,28.2459795918367,"PV29_D","P. verrucosa","29",4,"D1",28,2021-03-24 06:50:00,2021-03-24 07:11:00,"dark","control",105.04,0.6,8,0.286292138,0.374936667,-0.00637578079178886,"0",-0.00110673940652832,-0.00526904138526054,50.5913415689961,NA
"36",36,"PV3_D_28_O2",180.663245443373,-0.0217072644032089,28.0580204081633,"PV3_D","P. verrucosa","3",2,"D1",28,2021-03-24 06:50:00,2021-03-24 07:11:00,"dark","enriched",50.86,0.59,1,1.363743438,1.385563333,-0.0128072859978933,"0",-0.00110673940652832,-0.0117005465913649,30.4006079878802,NA
"37",37,"PV30_D_28_O2",186.550535070472,-0.0142199189570119,28.124693877551,"PV30_D","P. verrucosa","30",1,"D1",28,2021-03-24 06:50:00,2021-03-24 07:11:00,"dark","control",77.26,0.62,8,0.893279254,0.37493667,-0.00881634975334738,"0",-0.00110673940652832,-0.00770961034681906,74.0247606310383,NA
"38",38,"PV32_D_28_O2",190.023387535014,-0.0153102240896358,27.91,"PV32_D","P. verrucosa","32",5,"D1",28,2021-03-24 06:50:00,2021-03-24 07:11:00,"dark","control",85.83,0.6,8,0.427049174,0.752066667,-0.00918613445378148,"0",-0.00110673940652832,-0.00807939504725316,38.6745264035367,NA
"39",39,"PV6_D_28_O2",182.968805933673,-0.0157496071428571,27.7887755102041,"PV6_D","P. verrucosa","6",9,"D1",28,2021-03-24 06:50:00,2021-03-24 07:11:00,"dark","enriched",88.69,0.62,2,0.559733783,0.456166667,-0.0097647564285714,"0",-0.00110673940652832,-0.00865801702204308,68.3277923052521,NA
"40",40,"PV8_D_28_O2",155.929742917438,-0.0137527462997225,28.1324897959184,"PV8_D","P. verrucosa","8",6,"D1",28,2021-03-24 06:50:00,2021-03-24 07:11:00,"dark","enriched",89.16,0.61,2,0.344302262,0.417243333,-0.00838917524283072,"0",-0.00110673940652832,-0.00728243583630241,62.8332844102956,NA
"43",43,"PV11_D_30_O2",173.085442619048,-0.0162045238095237,30.0843265306122,"PV11_D","P. verrucosa","11",10,"D1",30,2021-03-24 07:33:00,2021-03-24 07:53:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.00988475952380946,"0",-0.00129718027672497,-0.00858757924708448,20.6741882868164,NA
"44",44,"PV21_D_30_O2",147.200090145315,-0.0191577789482214,30.0248775510204,"PV21_D","P. verrucosa","21",3,"D1",30,2021-03-24 07:33:00,2021-03-24 07:53:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.0118778229478973,"0",-0.00129718027672497,-0.0105806426711723,21.6792179129502,NA
"45",45,"PV29_D_30_O2",177.107782195208,-0.016527015503876,30.0482448979592,"PV29_D","P. verrucosa","29",4,"D1",30,2021-03-24 07:33:00,2021-03-24 07:53:00,"dark","control",105.04,0.6,8,0.286292138,0.374936667,-0.0099162093023256,"0",-0.00129718027672497,-0.00861902902560063,82.7566552517582,NA
"46",46,"PV3_D_30_O2",171.199835367746,-0.0238008198380567,30.0826326530612,"PV3_D","P. verrucosa","3",2,"D1",30,2021-03-24 07:33:00,2021-03-24 07:53:00,"dark","enriched",50.86,0.59,1,1.363743438,1.385563333,-0.0140424837044535,"0",-0.00129718027672497,-0.0127453034277285,33.1151173295537,NA
"47",47,"PV30_D_30_O2",177.560711184669,-0.0163237282229965,30.064306122449,"PV30_D","P. verrucosa","30",1,"D1",30,2021-03-24 07:33:00,2021-03-24 07:53:00,"dark","control",77.26,0.62,8,0.893279254,0.37493667,-0.0101207114982578,"0",-0.00129718027672497,-0.00882353122153286,84.7202072753201,NA
"48",48,"PV32_D_30_O2",179.414063083624,-0.0169428745644599,29.797,"PV32_D","P. verrucosa","32",5,"D1",30,2021-03-24 07:33:00,2021-03-24 07:53:00,"dark","control",85.83,0.6,8,0.427049174,0.752066667,-0.0101657247386759,"0",-0.00129718027672497,-0.00886854446195097,42.4520344590987,NA
"49",49,"PV6_D_30_O2",174.32152503003,-0.0184904954954955,29.8416326530612,"PV6_D","P. verrucosa","6",9,"D1",30,2021-03-24 07:33:00,2021-03-24 07:53:00,"dark","enriched",88.69,0.62,2,0.559733783,0.456166667,-0.0114641072072072,"0",-0.00129718027672497,-0.0101669269304822,80.2358865684854,NA
"50",50,"PV8_D_30_O2",149.439431450535,-0.0153585895721926,29.9758163265306,"PV8_D","P. verrucosa","8",6,"D1",30,2021-03-24 07:33:00,2021-03-24 07:53:00,"dark","enriched",89.16,0.61,2,0.344302262,0.417243333,-0.00936873963903749,"0",-0.00129718027672497,-0.00807155936231251,69.6418885723095,NA
"53",53,"PV11_D_32_O2",164.956821576655,-0.0178606010452962,31.9288163265306,"PV11_D","P. verrucosa","11",10,"D1",32,2021-03-24 08:15:00,2021-03-24 08:35:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.0108949666376307,"0",-0.00154701666600156,-0.00934794997162912,22.5047446141254,NA
"54",54,"PV21_D_32_O2",136.7508196567,-0.0211541244631716,31.9399183673469,"PV21_D","P. verrucosa","21",3,"D1",32,2021-03-24 08:15:00,2021-03-24 08:35:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.0131155571671664,"0",-0.00154701666600156,-0.0115685405011648,23.703372115841,NA
"55",55,"PV29_D_32_O2",163.68053050662,-0.0177450815187657,31.899612244898,"PV29_D","P. verrucosa","29",4,"D1",32,2021-03-24 08:15:00,2021-03-24 08:35:00,"dark","control",105.04,0.6,8,0.286292138,0.374936667,-0.0106470489112594,"0",-0.00154701666600156,-0.00910003224525786,87.3750661546482,NA
"56",56,"PV3_D_32_O2",160.767748409344,-0.0248084760845384,31.8390816326531,"PV3_D","P. verrucosa","3",2,"D1",32,2021-03-24 08:15:00,2021-03-24 08:35:00,"dark","enriched",50.86,0.59,1,1.363743438,1.385563333,-0.0146370008898777,"0",-0.00154701666600156,-0.0130899842238761,34.0106742749333,NA
"57",57,"PV30_D_32_O2",163.024454966809,-0.016960182550972,31.917612244898,"PV30_D","P. verrucosa","30",1,"D1",32,2021-03-24 08:15:00,2021-03-24 08:35:00,"dark","control",77.26,0.62,8,0.893279254,0.37493667,-0.0105153131816026,"0",-0.00154701666600156,-0.00896829651560108,86.1101888384614,NA
"58",58,"PV32_D_32_O2",167.975649940675,-0.0188476418242491,31.7595510204082,"PV32_D","P. verrucosa","32",5,"D1",32,2021-03-24 08:15:00,2021-03-24 08:35:00,"dark","control",85.83,0.6,8,0.427049174,0.752066667,-0.0113085850945495,"0",-0.00154701666600156,-0.0097615684285479,46.7267702249758,NA
"59",59,"PV6_D_32_O2",166.143555199485,-0.0211261132561133,31.7681428571429,"PV6_D","P. verrucosa","6",9,"D1",32,2021-03-24 08:15:00,2021-03-24 08:35:00,"dark","enriched",88.69,0.62,2,0.559733783,0.456166667,-0.0130981902187902,"0",-0.00154701666600156,-0.0115511735527887,91.1601565794356,NA
"60",60,"PV8_D_32_O2",137.825235940803,-0.017820658411356,31.9535510204082,"PV8_D","P. verrucosa","8",6,"D1",32,2021-03-24 08:15:00,2021-03-24 08:35:00,"dark","enriched",89.16,0.61,2,0.344302262,0.417243333,-0.0108706016309272,"0",-0.00154701666600156,-0.0093235849649256,80.4444390576569,NA
"63",63,"PV11_D_34_O2",150.352572378049,-0.0218026916376307,33.8838367346939,"PV11_D","P. verrucosa","11",10,"D1",34,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.0132996418989547,"0",-0.00168057749196142,-0.0116190644069933,27.9723445170395,NA
"64",64,"PV21_D_34_O2",124.858534030504,-0.0258517592872244,33.817387755102,"PV21_D","P. verrucosa","21",3,"D1",34,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.0160280907580791,"0",-0.00168057749196142,-0.0143475132661177,29.3973510184375,NA
"65",65,"PV29_D_34_O2",157.260904912118,-0.0216324483502929,33.9454285714286,"PV29_D","P. verrucosa","29",4,"D1",34,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","control",105.04,0.6,8,0.286292138,0.374936667,-0.0129794690101757,"0",-0.00168057749196142,-0.0112988915182143,108.4876808423,NA
"66",66,"PV3_D_34_O2",153.225163431994,-0.0301755532064834,33.853387755102,"PV3_D","P. verrucosa","3",2,"D1",34,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","enriched",50.86,0.59,1,1.363743438,1.385563333,-0.0178035763918252,"0",-0.00168057749196142,-0.0161229988998638,41.8911172496434,NA
