"","fragment.ID","treatment","rate.type","block","E","Eh","lnc","Th","Topt"
"1","PV1_D","enriched","Dark Respiration",1,0.328870899483179,3.33706668720956,3.06952948003015,312.762530379664,307.267878897068
"2","PV1_L","enriched","Gross Photosynthesis",1,0.298705697849912,4.64777898012466,4.22694246598808,308.33594524121,303.684781809106
"3","PV10_D","enriched","Dark Respiration",3,0.535631863334063,3.80499899140703,2.97882558735353,310.747379677183,306.839980279765
"4","PV10_L","enriched","Gross Photosynthesis",3,0.181372919569465,12.192443806161,3.73669209019499,309.750409132929,306.932036185618
"5","PV11_D","enriched","Dark Respiration",3,0.431109125872155,2.90668180609453,2.96202726779069,312.696042262528,307.708577488483
"6","PV11_L","enriched","Gross Photosynthesis",3,0.213371922511343,5.91649572306275,4.37893378401242,309.067388315135,304.561268041499
"7","PV12_D","enriched","Dark Respiration",3,0.401215224775942,6.39774999181769,2.71667638566272,311.602592515065,308.104300810023
"8","PV12_L","enriched","Gross Photosynthesis",3,0.168314547745168,9.23388019749512,3.75326651001592,309.677151830361,306.149007378126
"9","PV13_D","enriched","Dark Respiration",4,0.358771433086851,3.31888307361735,2.82684980007722,312.888958887515,307.61356889575
"10","PV13_L","enriched","Gross Photosynthesis",4,0.326063322755666,5.75875994245884,3.80247098698106,309.167206856221,305.194075941849
"11","PV14_D","enriched","Dark Respiration",4,0.323570520764124,5.65274975440583,3.34507175908112,312.267273743158,308.156333206005
"12","PV14_L","enriched","Gross Photosynthesis",4,0.280685710114334,6.05460600362298,4.38726107974168,309.54596014115,305.475105456669
"13","PV15_D","enriched","Dark Respiration",4,0.394315663527821,5.95916467204873,4.14474240008911,311.435268764191,307.765191980259
"14","PV15_L","enriched","Gross Photosynthesis",4,0.166726393419525,7.34628997174701,5.10568276339617,309.833354243932,305.652282186892
"15","PV16_D","enriched","Dark Respiration",4,0.240089218856567,4.91240350374655,2.51087376321874,311.845362218349,306.86092175427
"16","PV16_L","enriched","Gross Photosynthesis",4,0.386420740579482,3.40381589215268,3.91853869535506,307.388876722073,302.548455866329
"17","PV17_D","control","Dark Respiration",5,0.349060069686112,4.12094609670349,3.97247738306531,312.206279821507,307.427820909935
