"","X","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","block","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","Rate.ln"
"3",3,"PV11_D_20_O2",207.97401705074,-0.00937018675123325,20.05572,"PV11_D","P. verrucosa","11",10,"D1",20,2021-03-21 04:24:00,2021-03-21 04:44:00,"dark","enriched",85.88,0.61,3,-0.00571581391825228,"0",-0.000109881346371702,-0.00560593257188058,0.234994844652656,NA
"4",4,"PV21_D_20_O2",179.54408513299,-0.0123154633204633,20.08838,"PV21_D","P. verrucosa","21",3,"D1",20,2021-03-21 04:24:00,2021-03-21 04:44:00,"dark","control",104.12,0.62,6,-0.00763558725868725,"0",-0.000109881346371702,-0.00752570591231554,0.260204968155359,NA
"5",5,"PV29_D_20_O2",211.664957857143,-0.00801813588850178,20.18218,"PV29_D","P. verrucosa","29",4,"D1",20,2021-03-21 04:24:00,2021-03-21 04:44:00,"dark","control",105.04,0.6,8,-0.00481088153310107,"0",-0.000109881346371702,-0.00470100018672937,0.161115771822408,NA
"6",6,"PV3_D_20_O2",215.225020013131,-0.0176313491629283,20.00136,"PV3_D","P. verrucosa","3",2,"D1",20,2021-03-21 04:24:00,2021-03-21 04:44:00,"dark","enriched",50.86,0.59,1,-0.0104024960061277,"0",-0.000109881346371702,-0.010292614659756,0.72853741201576,NA
"7",7,"PV30_D_20_O2",213.437056229839,-0.0101719556451612,19.8988,"PV30_D","P. verrucosa","30",1,"D1",20,2021-03-21 04:24:00,2021-03-21 04:44:00,"dark","control",77.26,0.62,8,-0.00630661249999994,"0",-0.000109881346371702,-0.00619673115362824,0.288742326599297,NA
"8",8,"PV32_D_20_O2",211.00582506006,-0.0109839189189188,19.90368,"PV32_D","P. verrucosa","32",5,"D1",20,2021-03-21 04:24:00,2021-03-21 04:44:00,"dark","control",85.83,0.6,8,-0.00659035135135128,"0",-0.000109881346371702,-0.00648047000497958,0.271812792938675,NA
"9",9,"PV6_D_20_O2",205.247583228228,-0.0131225675675676,19.96544,"PV6_D","P. verrucosa","6",9,"D1",20,2021-03-21 04:24:00,2021-03-21 04:44:00,"dark","enriched",88.69,0.62,2,-0.00813599189189191,"0",-0.000109881346371702,-0.00802611054552021,0.325786424217756,NA
"10",10,"PV8_D_20_O2",174.470534975369,-0.011456157635468,20.14974,"PV8_D","P. verrucosa","8",6,"D1",20,2021-03-21 04:24:00,2021-03-21 04:44:00,"dark","enriched",89.16,0.61,2,-0.00698825615763548,"0",-0.000109881346371702,-0.00687837481126378,0.277727112164083,NA
"13",13,"PV11_D_22_O2",202.208186466235,-0.00938609620721558,22.0115918367347,"PV11_D","P. verrucosa","11",10,"D1",22,2021-03-21 05:12:00,2021-03-21 05:33:00,"dark","enriched",85.88,0.61,3,-0.0057255186864015,"0",-0.000461533000320333,-0.00526398568608117,0.220660787958689,NA
"14",14,"PV21_D_22_O2",175.390664165481,-0.0129270862968231,22.0558979591837,"PV21_D","P. verrucosa","21",3,"D1",22,2021-03-21 05:12:00,2021-03-21 05:33:00,"dark","control",104.12,0.62,6,-0.00801479350403032,"0",-0.000461533000320333,-0.00755326050370999,0.261157681649596,NA
"15",15,"PV29_D_22_O2",207.84752717759,-0.0109870084566597,22.1608163265306,"PV29_D","P. verrucosa","29",4,"D1",22,2021-03-21 05:12:00,2021-03-21 05:33:00,"dark","control",105.04,0.6,8,-0.00659220507399582,"0",-0.000461533000320333,-0.00613067207367549,0.210114427506014,NA
"16",16,"PV3_D_22_O2",205.985473391725,-0.0144320144971308,22.1704081632653,"PV3_D","P. verrucosa","3",2,"D1",22,2021-03-21 05:12:00,2021-03-21 05:33:00,"dark","enriched",50.86,0.59,1,-0.00851488855330717,"0",-0.000461533000320333,-0.00805335555298684,0.570036964033673,NA
"17",17,"PV30_D_22_O2",209.843693628285,-0.0084790049428734,22.0276734693878,"PV30_D","P. verrucosa","30",1,"D1",22,2021-03-21 05:12:00,2021-03-21 05:33:00,"dark","control",77.26,0.62,8,-0.00525698306458151,"0",-0.000461533000320333,-0.00479545006426117,0.223448359194153,NA
"18",18,"PV32_D_22_O2",210.399057987805,-0.0115653048780488,21.8595306122449,"PV32_D","P. verrucosa","32",5,"D1",22,2021-03-21 05:12:00,2021-03-21 05:33:00,"dark","control",85.83,0.6,8,-0.00693918292682928,"0",-0.000461533000320333,-0.00647764992650895,0.271694509325786,NA
"19",19,"PV6_D_22_O2",205.496995769231,-0.0116111538461538,21.8133673469388,"PV6_D","P. verrucosa","6",9,"D1",22,2021-03-21 05:12:00,2021-03-21 05:33:00,"dark","enriched",88.69,0.62,2,-0.00719891538461536,"0",-0.000461533000320333,-0.00673738238429502,0.273475888865285,NA
"20",20,"PV8_D_22_O2",177.076042340426,-0.0103959636139377,22.0772040816327,"PV8_D","P. verrucosa","8",6,"D1",22,2021-03-21 05:12:00,2021-03-21 05:33:00,"dark","enriched",89.16,0.61,2,-0.006341537804502,"0",-0.000461533000320333,-0.00588000480418166,0.237416075538964,NA
"23",23,"PV11_D_24_O2",200.168330397727,-0.0112127291055718,24.1790612244898,"PV11_D","P. verrucosa","11",10,"D1",24,2021-03-21 05:53:00,2021-03-21 06:14:00,"dark","enriched",85.88,0.61,3,-0.0068397647543988,"0",-0.000733497629877419,-0.00610626712452138,0.255968347092186,NA
"24",24,"PV21_D_24_O2",175.207064048892,-0.0147926967150497,24.2922448979592,"PV21_D","P. verrucosa","21",3,"D1",24,2021-03-21 05:53:00,2021-03-21 06:14:00,"dark","control",104.12,0.62,6,-0.00917147196333081,"0",-0.000733497629877419,-0.00843797433345339,0.291747095663006,NA
"25",25,"PV29_D_24_O2",203.246762394998,-0.0124661737298437,24.1457551020408,"PV29_D","P. verrucosa","29",4,"D1",24,2021-03-21 05:53:00,2021-03-21 06:14:00,"dark","control",105.04,0.6,8,-0.00747970423790622,"0",-0.000733497629877419,-0.0067462066080288,0.23121043211066,NA
"26",26,"PV3_D_24_O2",203.583859649123,-0.016574898785425,24.1471020408163,"PV3_D","P. verrucosa","3",2,"D1",24,2021-03-21 05:53:00,2021-03-21 06:14:00,"dark","enriched",50.86,0.59,1,-0.00977919028340075,"0",-0.000733497629877419,-0.00904569265352333,0.640277104850255,NA
"27",27,"PV30_D_24_O2",204.554933326581,-0.0102308443400048,24.1633469387755,"PV30_D","P. verrucosa","30",1,"D1",24,2021-03-21 05:53:00,2021-03-21 06:14:00,"dark","control",77.26,0.62,8,-0.00634312349080298,"0",-0.000733497629877419,-0.00560962586092556,0.261385621270153,NA
