"","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID"
"3","PV11",20,"enriched",20.05572,0.234994844652656,"R","dark","PV11_D"
"4","PV21",20,"control",20.08838,0.260204968155359,"R","dark","PV21_D"
"5","PV29",20,"control",20.18218,0.161115771822408,"R","dark","PV29_D"
"6","PV3",20,"enriched",20.00136,0.72853741201576,"R","dark","PV3_D"
"7","PV30",20,"control",19.8988,0.288742326599297,"R","dark","PV30_D"
"8","PV32",20,"control",19.90368,0.271812792938675,"R","dark","PV32_D"
"9","PV6",20,"enriched",19.96544,0.325786424217756,"R","dark","PV6_D"
"10","PV8",20,"enriched",20.14974,0.277727112164083,"R","dark","PV8_D"
"13","PV11",22,"enriched",22.0115918367347,0.220660787958689,"R","dark","PV11_D"
"14","PV21",22,"control",22.0558979591837,0.261157681649596,"R","dark","PV21_D"
"15","PV29",22,"control",22.1608163265306,0.210114427506014,"R","dark","PV29_D"
"16","PV3",22,"enriched",22.1704081632653,0.570036964033673,"R","dark","PV3_D"
"17","PV30",22,"control",22.0276734693878,0.223448359194153,"R","dark","PV30_D"
"18","PV32",22,"control",21.8595306122449,0.271694509325786,"R","dark","PV32_D"
"19","PV6",22,"enriched",21.8133673469388,0.273475888865285,"R","dark","PV6_D"
"20","PV8",22,"enriched",22.0772040816327,0.237416075538964,"R","dark","PV8_D"
"23","PV11",24,"enriched",24.1790612244898,0.255968347092186,"R","dark","PV11_D"
"24","PV21",24,"control",24.2922448979592,0.291747095663006,"R","dark","PV21_D"
"25","PV29",24,"control",24.1457551020408,0.23121043211066,"R","dark","PV29_D"
"26","PV3",24,"enriched",24.1471020408163,0.640277104850255,"R","dark","PV3_D"
"27","PV30",24,"control",24.1633469387755,0.261385621270153,"R","dark","PV30_D"
"28","PV32",24,"control",24.0197959183673,0.318234541737333,"R","dark","PV32_D"
"29","PV6",24,"enriched",24.0782653061225,0.302993398344109,"R","dark","PV6_D"
"30","PV8",24,"enriched",24.1648775510204,0.25491159930832,"R","dark","PV8_D"
"33","PV11",28,"enriched",28.1515510204082,0.34677298666379,"R","dark","PV11_D"
"34","PV21",28,"control",28.1482448979592,0.337923705198603,"R","dark","PV21_D"
"35","PV29",28,"control",28.2459795918367,0.180584053569478,"R","dark","PV29_D"
"36","PV3",28,"enriched",28.0580204081633,0.828194410713994,"R","dark","PV3_D"
"37","PV30",28,"control",28.124693877551,0.35923630919685,"R","dark","PV30_D"
"38","PV32",28,"control",27.91,0.338877107888983,"R","dark","PV32_D"
"39","PV6",28,"enriched",27.7887755102041,0.351436027504286,"R","dark","PV6_D"
"40","PV8",28,"enriched",28.1324897959184,0.294041823807634,"R","dark","PV8_D"
"43","PV11",30,"enriched",30.0843265306122,0.35998236247676,"R","dark","PV11_D"
"44","PV21",30,"control",30.0248775510204,0.365830902960241,"R","dark","PV21_D"
"45","PV29",30,"control",30.0482448979592,0.295397034388445,"R","dark","PV29_D"
"46","PV3",30,"enriched",30.0826326530612,0.902144953594623,"R","dark","PV3_D"
"47","PV30",30,"control",30.064306122449,0.411140465926978,"R","dark","PV30_D"
"48","PV32",30,"control",29.797,0.371976698858482,"R","dark","PV32_D"
"49","PV6",30,"enriched",29.8416326530612,0.412683920957673,"R","dark","PV6_D"
"50","PV8",30,"enriched",29.9758163265306,0.32590414652675,"R","dark","PV8_D"
"53","PV11",32,"enriched",31.9288163265306,0.391856309942534,"R","dark","PV11_D"
"54","PV21",32,"control",31.9399183673469,0.399987954323794,"R","dark","PV21_D"
"55","PV29",32,"control",31.899612244898,0.311882293249508,"R","dark","PV29_D"
"56","PV3",32,"enriched",31.8390816326531,0.926542335940895,"R","dark","PV3_D"
"57","PV30",32,"control",31.917612244898,0.417885936528137,"R","dark","PV30_D"
"58","PV32",32,"control",31.7595510204082,0.409433139261009,"R","dark","PV32_D"
"59","PV6",32,"enriched",31.7681428571429,0.468871629158183,"R","dark","PV6_D"
"60","PV8",32,"enriched",31.9535510204082,0.376456997237911,"R","dark","PV8_D"
"63","PV11",34,"enriched",33.8838367346939,0.487059057582393,"R","dark","PV11_D"
"64","PV21",34,"control",33.817387755102,0.49607229886692,"R","dark","PV21_D"
"65","PV29",34,"control",33.9454285714286,0.387243045178709,"R","dark","PV29_D"
"66","PV3",34,"enriched",33.853387755102,1.14122681949488,"R","dark","PV3_D"
"67","PV30",34,"control",33.922693877551,0.491982278231594,"R","dark","PV30_D"
"68","PV32",34,"control",33.7732040816326,0.472244008737664,"R","dark","PV32_D"
"69","PV6",34,"enriched",33.6728367346939,0.539416617420142,"R","dark","PV6_D"
"70","PV8",34,"enriched",33.9307551020408,0.458454048678314,"R","dark","PV8_D"
"73","PV11",36,"enriched",35.9318775510204,0.407155012822005,"R","dark","PV11_D"
"74","PV21",36,"control",36.0610204081633,0.455931550969039,"R","dark","PV21_D"
"75","PV29",36,"control",35.9297755102041,0.377120559818521,"R","dark","PV29_D"
"76","PV3",36,"enriched",35.7964285714286,1.03947532807092,"R","dark","PV3_D"
"77","PV30",36,"control",35.9397959183673,0.487788811847498,"R","dark","PV30_D"
"78","PV32",36,"control",35.676612244898,0.484566741238324,"R","dark","PV32_D"
"79","PV6",36,"enriched",35.7440816326531,0.531036308772568,"R","dark","PV6_D"
"80","PV8",36,"enriched",35.9214285714286,0.470151400022537,"R","dark","PV8_D"
"83","PV11",37,"enriched",36.7851020408163,0.361840198637405,"R","dark","PV11_D"
"84","PV21",37,"control",36.8616734693878,0.405968296371968,"R","dark","PV21_D"
"85","PV29",37,"control",36.8572040816327,0.367497897911831,"R","dark","PV29_D"
"86","PV3",37,"enriched",36.8717142857143,0.921254255089522,"R","dark","PV3_D"
"87","PV30",37,"control",36.9401224489796,0.469854057832352,"R","dark","PV30_D"
"88","PV32",37,"control",36.6340612244898,0.461816690885336,"R","dark","PV32_D"
"89","PV6",37,"enriched",36.7548775510204,0.475188427484875,"R","dark","PV6_D"
"90","PV8",37,"enriched",36.6736326530612,0.434586178256372,"R","dark","PV8_D"
"93","PV11",38,"enriched",38.0915918367347,0.359794265011491,"R","dark","PV11_D"
"94","PV21",38,"control",38.0779795918367,0.355907444859043,"R","dark","PV21_D"
"95","PV29",38,"control",38.0641836734694,0.295074171895148,"R","dark","PV29_D"
"96","PV3",38,"enriched",38.1017551020408,0.806038450073675,"R","dark","PV3_D"
"97","PV30",38,"control",38.2048163265306,0.426996722146912,"R","dark","PV30_D"
